
Fall2021-2022(202210),11764,HIST,104,1,Hist.ofArab&M.EII:16to20thC,3,3,AS,31,-6,1200,1250,NICELY,320,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Naila,KaidbeyTakieddine,,,
Fall2021-2022(202210),11765,HIST,104,2,Hist.ofArab&M.EII:16to20thC,3,3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall2021-2022(202210),11766,HIST,201,1,IntrototheStudyofHistory,3,3,AS,22,3,1000,1050,NICELY,103,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Marwan,AbouNader,,,
Fall2021-2022(202210),11767,HIST,202,1,IntrotoModernHistArab-East,3,3,AS,22,3,1100,1150,NICELY,103,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Naila,KaidbeyTakieddine,,,
Fall2021-2022(202210),11768,HIST,243,1,H.ArabEast&Egyptsince1920,3,3,AS,25,0,0930,1045,NICELY,327,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ilham,Khuri-Makdisi,,,
Fall2021-2022(202210),11769,HIST,245,1,HistoryofLebanon634-1920AD,3,3,AS,27,-2,1100,1215,NICELY,410,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Abdulrahim,Abu-Husayn,,,
Fall2021-2022(202210),11770,HIST,258BM,1,ST.Lebanon:GrandLibantoTaif,3,3,AS,25,0,1530,1645,POST,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Makram,Rabah,,,
Fall2021-2022(202210),11771,HIST,258BM,2,ST.Lebanon:GrandLibantoTaif,3,3,AS,26,-1,1530,1645,NICELY,416,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Makram,Rabah,,,
Fall2021-2022(202210),11772,HIST,258BS,1,ST.LatinReceptArabIslamSc,3,3,AS,7,18,1400,1515,NICELY,321,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,George,Saliba,,,
Fall2021-2022(202210),11773,HIST,273,1,TheU.S.andtheMiddleEast.,3,3,AS,22,3,1700,1815,POST,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Makram,Rabah,,,
Fall2021-2022(202210),11774,HIST,273,2,TheU.S.andtheMiddleEast.,3,3,AS,24,1,1700,1815,NICELY,324,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Makram,Rabah,,,
Fall2021-2022(202210),11775,HIST,278A,1,Sp.Tp:Intr.toAmericanStudies,3,3,AS,4,1,1230,1345,NICELY,323,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Suzanne,Enzerink,,,
Fall2021-2022(202210),11776,HIST,287,1,HistoricalWriting,3,3,AS,7,3,1530,1800,NICELY,103,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lyall,Armstrong,,,
