
Fall2021-2022(202210),12291,NFSC,210,1,Statist.inNutrtion&FoodScie,3,3,AG,26,-6,0800,0959,AGRIC,102,.,T,.,.,.,.,.,0800,1030,AGRIC,209,.,.,.,R,.,.,.,Samer,Kharroubi,,,
Fall2021-2022(202210),13120,NFSC,210,2,Statist.inNutrtion&FoodScie,3,3,AG,15,0,0800,0955,AGRIC,209,.,.,W,.,.,.,.,0800,0955,AGRIC,205,.,.,.,R,.,.,.,Samer,Kharroubi,,,
Fall2021-2022(202210),13056,NFSC,215,1,Gender:Food&Nutrition,3,3,AG,24,-12,0900,0950,AGRIC,201,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Lara,Nasreddine,,,
Fall2021-2022(202210),12292,NFSC,220,1,Food&NutritionAwareness,3,3,AG,42,-2,1230,1345,AGRIC,205,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Carla,HabibMourad,,,
Fall2021-2022(202210),12293,NFSC,220,2,Food&NutritionAwareness,3,3,AG,39,-1,1500,1615,.,.,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Laura,Hjeij,,,
Fall2021-2022(202210),12294,NFSC,221,1,BasicNutrition,3,3,AG,26,14,1100,1215,AGRIC,102,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NahlaC.,Hwalla,,,
Fall2021-2022(202210),12295,NFSC,222,1,CommunityNutrition,3,3,AG,36,4,1500,1615,AGRIC,102,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lamis,Jomaa,,,
Fall2021-2022(202210),12296,NFSC,223,1,Nutrition&PhysicalActivity,3,3,AG,25,-10,1530,1645,AGRIC,205,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Elie-Jacques,Fares,,,
Fall2021-2022(202210),12297,NFSC,229,1,MenuPlanning,1,1,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall2021-2022(202210),12298,NFSC,240,1,NutritionalStatusAssessment,2,2,AG,15,0,1000,1050,AGRIC,205,.,T,.,.,.,.,.,1300,1458,AGRIC,210,M,.,.,.,.,.,.,Carla,ElMallah,,,
Fall2021-2022(202210),12299,NFSC,240,2,NutritionalStatusAssessment,2,2,AG,16,-1,1000,1050,AGRIC,205,.,T,.,.,.,.,.,1300,1458,AGRIC,210,.,.,W,.,.,.,.,Carla,ElMallah,,,
Fall2021-2022(202210),12300,NFSC,240,3,NutritionalStatusAssessment,2,2,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall2021-2022(202210),12301,NFSC,252,1,Intr.toFoodProcessing,3,3,AG,30,-5,1000,1050,AGRIC,211,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Basma,Diryan,,,
Fall2021-2022(202210),12302,NFSC,252,2,Intr.toFoodProcessing,3,3,AG,29,-4,1200,1250,.,.,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Basma,Diryan,,,
Fall2021-2022(202210),12303,NFSC,261,1,IntroductoryBiochemistry,3,3,AG,28,7,1200,1250,AGRIC,205,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Imad,Toufeili,,,
